_________,
X________,
O________,
_X_______,
XX_______,
OX_______,
_O_______,
XO_______,
OO_______,
__X______,
X_X______,
O_X______,
_XX______,
XXX______,
OXX______,
_OX______,
XOX______,
OOX______,
__O______,
X_O______,
O_O______,
_XO______,
XXO______,
OXO______,
_OO______,
XOO______,
OOO______,
___X_____,
X__X_____,
O__X_____,
_X_X_____,
XX_X_____,
OX_X_____,
_O_X_____,
XO_X_____,
OO_X_____,
__XX_____,
X_XX_____,
O_XX_____,
_XXX_____,
XXXX_____,
OXXX_____,
_OXX_____,
XOXX_____,
OOXX_____,
__OX_____,
X_OX_____,
O_OX_____,
_XOX_____,
XXOX_____,
OXOX_____,
_OOX_____,
XOOX_____,
OOOX_____,
___O_____,
X__O_____,
O__O_____,
_X_O_____,
XX_O_____,
OX_O_____,
_O_O_____,
XO_O_____,
OO_O_____,
__XO_____,
X_XO_____,
O_XO_____,
_XXO_____,
XXXO_____,
OXXO_____,
_OXO_____,
XOXO_____,
OOXO_____,
__OO_____,
X_OO_____,
O_OO_____,
_XOO_____,
XXOO_____,
OXOO_____,
_OOO_____,
XOOO_____,
OOOO_____,
____X____,
X___X____,
O___X____,
_X__X____,
XX__X____,
OX__X____,
_O__X____,
XO__X____,
OO__X____,
__X_X____,
X_X_X____,
O_X_X____,
_XX_X____,
XXX_X____,
OXX_X____,
_OX_X____,
XOX_X____,
OOX_X____,
__O_X____,
X_O_X____,
O_O_X____,
_XO_X____,
XXO_X____,
OXO_X____,
_OO_X____,
XOO_X____,
OOO_X____,
___XX____,
X__XX____,
O__XX____,
_X_XX____,
XX_XX____,
OX_XX____,
_O_XX____,
XO_XX____,
OO_XX____,
__XXX____,
X_XXX____,
O_XXX____,
_XXXX____,
XXXXX____,
OXXXX____,
_OXXX____,
XOXXX____,
OOXXX____,
__OXX____,
X_OXX____,
O_OXX____,
_XOXX____,
XXOXX____,
OXOXX____,
_OOXX____,
XOOXX____,
OOOXX____,
___OX____,
X__OX____,
O__OX____,
_X_OX____,
XX_OX____,
OX_OX____,
_O_OX____,
XO_OX____,
OO_OX____,
__XOX____,
X_XOX____,
O_XOX____,
_XXOX____,
XXXOX____,
OXXOX____,
_OXOX____,
XOXOX____,
OOXOX____,
__OOX____,
X_OOX____,
O_OOX____,
_XOOX____,
XXOOX____,
OXOOX____,
_OOOX____,
XOOOX____,
OOOOX____,
____O____,
X___O____,
O___O____,
_X__O____,
XX__O____,
OX__O____,
_O__O____,
XO__O____,
OO__O____,
__X_O____,
X_X_O____,
O_X_O____,
_XX_O____,
XXX_O____,
OXX_O____,
_OX_O____,
XOX_O____,
OOX_O____,
__O_O____,
X_O_O____,
O_O_O____,
_XO_O____,
XXO_O____,
OXO_O____,
_OO_O____,
XOO_O____,
OOO_O____,
___XO____,
X__XO____,
O__XO____,
_X_XO____,
XX_XO____,
OX_XO____,
_O_XO____,
XO_XO____,
OO_XO____,
__XXO____,
X_XXO____,
O_XXO____,
_XXXO____,
XXXXO____,
OXXXO____,
_OXXO____,
XOXXO____,
OOXXO____,
__OXO____,
X_OXO____,
O_OXO____,
_XOXO____,
XXOXO____,
OXOXO____,
_OOXO____,
XOOXO____,
OOOXO____,
___OO____,
X__OO____,
O__OO____,
_X_OO____,
XX_OO____,
OX_OO____,
_O_OO____,
XO_OO____,
OO_OO____,
__XOO____,
X_XOO____,
O_XOO____,
_XXOO____,
XXXOO____,
OXXOO____,
_OXOO____,
XOXOO____,
OOXOO____,
__OOO____,
X_OOO____,
O_OOO____,
_XOOO____,
XXOOO____,
OXOOO____,
_OOOO____,
XOOOO____,
OOOOO____,
_____X___,
X____X___,
O____X___,
_X___X___,
XX___X___,
OX___X___,
_O___X___,
XO___X___,
OO___X___,
__X__X___,
X_X__X___,
O_X__X___,
_XX__X___,
XXX__X___,
OXX__X___,
_OX__X___,
XOX__X___,
OOX__X___,
__O__X___,
X_O__X___,
O_O__X___,
_XO__X___,
XXO__X___,
OXO__X___,
_OO__X___,
XOO__X___,
OOO__X___,
___X_X___,
X__X_X___,
O__X_X___,
_X_X_X___,
XX_X_X___,
OX_X_X___,
_O_X_X___,
XO_X_X___,
OO_X_X___,
__XX_X___,
X_XX_X___,
O_XX_X___,
